,4
,30
1416455,24
1579288,23
1528882,6
1653725,0
1625654,24
1669953,0
1665555,27
1616161,0
1633554,0
1645333,23
1691291,30
1662147,9
1691483,6
1674181,11
1641252,34
1695837,24
1613273,12
1612985,12
1623112,12
1668314,11
1622731,0
1696326,12
1646434,12
1614142,12
1654432,25
1678812,23
1614733,10
1665491,23
1634352,12
1661638,20
1686272,12
1729416,19
1763881,0
1781682,11
1778274,27
1795656,25
1773277,23
1759787,0
1743714,11
1747457,27
1728125,11
1783512,11
1768463,11
1797625,11
1754681,23
1798883,20
1769463,0
1766156,0
1772947,0
1731817,34
1752538,0
1731852,0
1766176,0
1715578,26
1745484,0
1791753,34
1742892,23
1788337,23
1736425,9
1728439,22
1712983,23
1718437,19
1784847,34
1737824,19
1797789,9
1728139,9
1711619,27
1789481,34
1711729,0
1773384,25
1762565,31
1898334,19
1892367,29
1863951,20
1835298,17
1835874,31
1849651,12
1872128,27
1887973,24
1886577,30
1877262,24
1873255,24
1834433,31
1868128,27
1845457,0
1855787,23
1893863,0
1842333,25
0,0
